filepath,filename,Image DateTime,EXIF DateTimeOriginal,EXIF DateTimeDigitized,Date Taken
851565-R1-032-14A.jpg,851565-R1-032-14A.jpg,,2006:07:13 23:50:10,2006:07:13 23:50:10,2006-07-13 23:50:10
851565-R1-034-15A.jpg,851565-R1-034-15A.jpg,,2006:07:13 23:50:10,2006:07:13 23:50:10,2006-07-13 23:50:10
851565-R1-036-16A.jpg,851565-R1-036-16A.jpg,,2006:07:13 23:50:10,2006:07:13 23:50:10,2006-07-13 23:50:10
851565-R1-038-17A.jpg,851565-R1-038-17A.jpg,,2006:07:13 23:50:10,2006:07:13 23:50:10,2006-07-13 23:50:10
851565-R1-040-18A.jpg,851565-R1-040-18A.jpg,,2006:07:13 23:50:10,2006:07:13 23:50:10,2006-07-13 23:50:10
851565-R1-042-19A.jpg,851565-R1-042-19A.jpg,,2006:07:13 23:50:10,2006:07:13 23:50:10,2006-07-13 23:50:10
851565-R1-044-20A.jpg,851565-R1-044-20A.jpg,,2006:07:13 23:50:10,2006:07:13 23:50:10,2006-07-13 23:50:10
851565-R1-046-21A.jpg,851565-R1-046-21A.jpg,,2006:07:13 23:50:10,2006:07:13 23:50:10,2006-07-13 23:50:10
851565-R1-048-22A.jpg,851565-R1-048-22A.jpg,,2006:07:13 23:50:10,2006:07:13 23:50:10,2006-07-13 23:50:10
851565-R1-050-23A.jpg,851565-R1-050-23A.jpg,,2006:07:13 23:50:10,2006:07:13 23:50:10,2006-07-13 23:50:10
851565-R1-052-24A.jpg,851565-R1-052-24A.jpg,,2006:07:13 23:50:10,2006:07:13 23:50:10,2006-07-13 23:50:10
851565-R1-054-25A.jpg,851565-R1-054-25A.jpg,,2006:07:13 23:50:10,2006:07:13 23:50:10,2006-07-13 23:50:10
851566-R1-028-12A.jpg,851566-R1-028-12A.jpg,,2006:07:13 23:54:06,2006:07:13 23:54:06,2006-07-13 23:54:06
851566-R1-030-13A.jpg,851566-R1-030-13A.jpg,,2006:07:13 23:54:06,2006:07:13 23:54:06,2006-07-13 23:54:06
851566-R1-032-14A.jpg,851566-R1-032-14A.jpg,,2006:07:13 23:54:06,2006:07:13 23:54:06,2006-07-13 23:54:06
851566-R1-034-15A.jpg,851566-R1-034-15A.jpg,2012:04:19 23:37:54,2010:08:04 22:37:58,2010:08:04 22:37:58,2010-08-04 22:37:58
851566-R1-036-16A.jpg,851566-R1-036-16A.jpg,2012:04:19 23:37:59,2010:08:04 22:37:58,2010:08:04 22:37:58,2010-08-04 22:37:58
851566-R1-038-17A.jpg,851566-R1-038-17A.jpg,,2006:07:13 23:54:06,2006:07:13 23:54:06,2006-07-13 23:54:06
